Ilce,Trafik_Yogunluk_Skoru,Trafik_Aciklama
Sultangazi,85,Metro yok+Yüksek nüfus=Çok yoğun
Esenyurt,90,1M nüfus+Yetersiz metro=Aşırı yoğun
Beylikdüzü,88,Metro yok+E-5 çıkışı=Çok yoğun
Pendik,75,Sanayi bölgesi+TEM trafiği
Büyükçekmece,70,E-5 üzerinde+Metro yok
Silivri,45,Uzak+Az nüfus=Hafif
Çatalca,30,Kırsal alan=Çok hafif
Adalar,10,Ada=Trafik yok
Sultanbeyli,70,Uzak+Metro 1 istasyon
Küçükçekmece,80,E-5 trafiği+Yoğun
Bağcılar,75,Nüfus yoğun ama metro var
Bahçelievler,70,Metro var ama eski yerleşim
Başakşehir,65,Yeni metro hattı iyileştirdi
Fatih,85,Tarihi yarımada trafiği
Beyoğlu,80,Merkez+Turizm trafiği
Şişli,82,İş merkezi trafiği
Beşiktaş,75,Dar yollar+Yoğun
Sarıyer,60,Kuzey bölge+Geniş yollar
Kadıköy,78,Anadolu yakası merkezi
Üsküdar,72,Boğaz geçişi trafiği
Ataşehir,68,İş merkezi ama geniş yollar
Maltepe,65,D-100 trafiği
Kartal,70,Sanayi+D-100
Bakırköy,73,E-5 trafiği
Zeytinburnu,75,Dar yollar+Sanayi
Güngören,72,Yoğun yerleşim
Esenler,78,Otogar bölgesi trafiği
Bayrampaşa,74,E-5 bağlantısı
Gaziosmanpaşa,76,Metro az+Yoğun
Eyüpsultan,68,Metro iyileştirdi
Kağıthane,70,İş merkezleri var
Ümraniye,75,Yoğun+Metro yetersiz
Çekmeköy,60,Uzak ama gelişiyor
Sancaktepe,65,Sanayi bölgesi
Avcılar,80,E-5 çıkışı+Üniversite
Beykoz,50,Kuzey+Geniş alan
Şile,25,Uzak sahil kasabası
Arnavutköy,55,3. Havalimanı trafiği azaldı
Tuzla,72,Sanayi+Lojistik merkezi