Istasyon_Adi,Proje_Adi,Hat_Turu,Proje_Asama,Longitude,Latitude,Ilce_Manuel,Ilce_Nihai
Mehmet Akif,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.881680707,41.0058001386,Bağcılar,Bağcılar
Soğanlık,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1923983239,40.9132883838,Kadıköy,Kadıköy
Aksaray,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9480900733,41.0120083811,,
Olimpiyat,M9 Bahariye - Olimpiyat Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7672340276,41.0794660403,,
Sağmalcılar-Pancar Motor,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.906939745,41.0572800041,,
Karadeniz,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8822397351,41.0752974339,,
Bakırköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8723322859,40.980241915,,
Erenköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0764726676,40.9714092752,,
Pendik,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2385281454,40.8887242519,Kadıköy,Kadıköy
Yakacık - Adnan Kahveci,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2271981056,40.8967288368,Kadıköy,Kadıköy
Güzelyalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2834955975,40.8568547122,,
Çarşı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0973186221,41.0259432808,Üsküdar,Üsküdar
İdealtepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.114255858,40.9378068715,,
Üsküdar,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0128155731,41.0252969925,Üsküdar,Üsküdar
Göztepe Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.848131392,41.0568370074,,
Altıyol,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0289380334,40.9897914366,Kadıköy,Kadıköy
Güngören,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8775129878,41.0152086456,Bağcılar,Bağcılar
Üniversite,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9428477215,41.0698014663,,
Alibeyköy Merkez,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9460604337,41.0737690827,,
Alibeyköy Metro,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9494471692,41.0784579664,,
Alibeyköy Cep Otogarı,Eminönü - Eyüp - Alibeyköy Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9439170961,41.0868880935,,
Cibali,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9603097439,41.0242383795,,
Fetihkapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9253384078,41.0218231939,,
Sanayi Mah.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0051660767,41.0943417237,,
Tophane,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9808666,41.0269906403,Bağcılar,Bağcılar
Kirazlı,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8424316868,41.0327712121,,
Gülhane,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9784244836,41.0121629659,Bağcılar,Bağcılar
Siteler,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7965144472,41.0882009753,,
Bahariye,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0285260083,40.9878694508,Kadıköy,Kadıköy
Levent,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0136915989,41.0767715513,,
Topkapı,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9194509655,41.0192277354,Bağcılar,Bağcılar
Merkezefendi,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9095053582,41.0103904554,Bağcılar,Bağcılar
Yavuz Selim Camii,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8636557132,41.0238202101,Bağcılar,Bağcılar
Yeşilyurt,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8372751097,40.9654691979,,
Tersane,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2733636214,40.8609774864,,
Halkalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7663997635,41.0178236153,,
Mahmutbey,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8315007416,41.0549034307,,
Ünalan,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0598854733,40.9981735143,Kadıköy,Kadıköy
Fener,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9544622861,41.0286247834,,
Yenimahalle,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.86297747,41.0998271111,,
Otogar,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8945640632,41.0401423681,,
Habibler,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8437966736,41.1224578381,,
Başak Konutları,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7912865195,41.097668849,,
4. Levent,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0070937585,41.0860061902,,
Esenler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8884510108,41.0370483035,,
Mühürdar,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0213268333,40.985181343,Kadıköy,Kadıköy
Kocatepe,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8955204746,41.0484570927,,
Taşköprü,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8876515183,41.0726561721,,
Etiler,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0375407815,41.0823435461,,
Suadiye,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0844186912,40.9604752408,,
Bostancı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0950591486,40.9538001485,,
Oruc Reis,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8553800128,41.0628471179,,
Çırçır,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9362253204,41.0802283123,,
Mustafa Kemal,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7739273174,41.0062619961,,
Sirkeci,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9758940742,41.0151787938,Bağcılar,Bağcılar
Pazartekke,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9271565618,41.0182643876,Bağcılar,Bağcılar
Kirazlı,M1B Yenikapı - Kirazlı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8427537611,41.0331712495,,
Bayrampaşa,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9202426412,41.034096046,,
Eyüpsultan Teleferik,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9351655775,41.0504706073,,
İTÜ Ayazağa,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0207987305,41.1080929067,,
Yenikapı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9504763048,41.005588975,,
Damga Sk.,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.020752372,40.9884331596,Kadıköy,Kadıköy
Gayrettepe,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0109240486,41.0689993628,,
Edirnekapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9339749517,41.0314391067,,
Kabataş,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9925196278,41.0342600076,Bağcılar,Bağcılar
Kabataş,F1 Taksim - Kabataş Füniküler Hattı,Füniküler,Mevcut Hattaki İstasyon,28.9920304059,41.0339800289,,
Rami,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.915524597,41.0466419975,,
Ali Fuat Başgil,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8954815845,41.0685637951,,
Yenibosna,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8367082249,40.9893132336,,
Mahmutbey,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8305389157,41.0548941972,,
Aksaray,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9538638023,41.0095921116,Bağcılar,Bağcılar
Uluyol-Bereç,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9102501142,41.0541363716,,
Hacı Şükrü,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.864009196,41.0928320034,,
Cebeci,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8578112,41.111919952,,
Üniversite-Laleli,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9597904528,41.0095852413,Bağcılar,Bağcılar
Yunus,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2105353314,40.8845046267,,
Pendik,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2316720558,40.8802067715,,
Karadeniz Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8750662124,41.0811903035,,
Çakmak,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1183812217,41.0215409985,Üsküdar,Üsküdar
Kağıthane,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9733006431,41.0795639497,,
İçmeler,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.3000611747,40.8456508905,,
Mecidiyeköy,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9953910663,41.0652301997,,
Zeytinburnu,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.9054442225,40.985877775,,
Bahariye,M9 Bahariye - Olimpiyat Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7993743238,41.058395086,,
Küçükçekmece,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7729423261,40.9885240376,,
Florya Akvaryum,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7970279467,40.9677662609,,
Süreyya Plajı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.1242047148,40.9268299859,,
Çarşı,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.025473107,40.9910897361,Kadıköy,Kadıköy
Darüşşafaka,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0251285208,41.1295804129,,
Atatürk Oto Sanayi,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0241937825,41.118255545,,
Maltepe,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1395599592,40.9358193379,Kadıköy,Kadıköy
Kilise,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0275960507,40.9848860823,Kadıköy,Kadıköy
Moda İlkokulu,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0267349436,40.9840909558,Kadıköy,Kadıköy
Çemberlitaş,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9711299487,41.0084351413,Bağcılar,Bağcılar
Çapa,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9320311155,41.0158815142,Bağcılar,Bağcılar
Demirkapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9233777611,41.0370058895,,
Haseki,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9442967061,41.0107080395,Bağcılar,Bağcılar
Davutpaşa - YTÜ,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.900212216,41.0206505824,,
Yenisahra,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0903877924,40.9847287608,Kadıköy,Kadıköy
Taksim,F1 Taksim - Kabataş Füniküler Hattı,Füniküler,Mevcut Hattaki İstasyon,28.986995331,41.0366106262,,
Sultanahmet,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.975587398,41.008087187,Bağcılar,Bağcılar
Vatan,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9293599063,41.0256928527,,
Bakırköy,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8754036789,40.9966103583,,
Hacıosman,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0304364747,41.1397726671,,
Vezneciler - İstanbul Ünv.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9598347809,41.0122648278,,
Yeni Mahalle,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8359418382,41.0403554341,,
Bağcılar,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8606511837,41.0330845374,Bağcılar,Bağcılar
Mescid-i Selam,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8512631642,41.11621368,,
Haliç,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9664222621,41.022434782,,
Bostancı,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1053503103,40.9645784145,Kadıköy,Kadıköy
Ümraniye,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0847807184,41.0246243207,Üsküdar,Üsküdar
Tavşantepe,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2488374197,40.882088389,Kadıköy,Kadıköy
Kazım Karabekir,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9083979482,41.0853738983,,
Ataköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8562244497,40.9802159969,,
Fıstık Ağacı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.028844655,41.0282537069,Üsküdar,Üsküdar
Veysel Karani  - Akşemsettin,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9281017456,41.0796856699,,
Üsküdar,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0135223765,41.0256996122,,
Bağlarbaşı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0364140056,41.0219145673,Üsküdar,Üsküdar
Yeşilköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8248930566,40.962652581,,
Maltepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.1335259971,40.9206463836,,
Yenimahalle,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8926872572,41.0838545405,,
Küçükyalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.1068216034,40.9462573976,,
Florya,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.7874733117,40.9729608799,,
Ayrılık Çeşmesi,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0301236137,41.0000768042,,
Fındıklı,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9894418022,41.0314532963,Bağcılar,Bağcılar
Karaköy,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9746879491,41.0221147392,Bağcılar,Bağcılar
Seyitnizam,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9093460025,41.0078444838,Bağcılar,Bağcılar
Soğanlı,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8670836783,41.0209671886,Bağcılar,Bağcılar
Kozyatağı,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0996930943,40.9752225,Kadıköy,Kadıköy
Moda,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0244084241,40.984062436,Kadıköy,Kadıköy
Yusufpaşa,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.94712091,41.0099969873,Bağcılar,Bağcılar
Şehitlik,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9282569721,41.0341805312,,
Ataköy - Şirinevler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8460862329,40.9913483432,,
Huzurevi,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.147007915,40.9299434238,Kadıköy,Kadıköy
Merter Tekstil Merkezi,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8807589097,41.0115575409,Bağcılar,Bağcılar
Menderes,M1B Yenikapı - Kirazlı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8784918018,41.0427573125,,
İstoç,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8259631805,41.0649978935,,
Bağcılar Meydan,M1B Yenikapı - Kirazlı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8561754626,41.034514697,,
Kartal,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2113837621,40.9066447114,Kadıköy,Kadıköy
Levent,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0145271463,41.0755084748,,
Bulgurlu,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.076243829,41.0163439849,Üsküdar,Üsküdar
Sirkeci,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.9771245143,41.0135844923,,
Tekstilkent - Giyimkent,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8669783971,41.0714904542,,
Kısıklı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0620828309,41.0221826659,Üsküdar,Üsküdar
Atalar,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.1694542075,40.8985880196,,
Çağlayan,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9804834482,41.0706569134,,
Dudullu,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1623536613,41.0152668658,Üsküdar,Üsküdar
Havaalanı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.821128321,40.9795412044,,
Taksim,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9856591013,41.0381565458,,
Zeytinburnu,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8902959262,41.00148356,Bağcılar,Bağcılar
Güneştepe,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8609536978,41.0289932752,Bağcılar,Bağcılar
Esenler,M1B Yenikapı - Kirazlı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8884262491,41.0376806403,,
Gülsuyu,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1546230461,40.9238194899,Kadıköy,Kadıköy
Fındıkzade,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9391494468,41.0123552716,Bağcılar,Bağcılar
Balat,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9480367019,41.0340557692,,
Metris,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8756232689,41.0802277875,,
Acıbadem,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0445867059,41.0022997833,Kadıköy,Kadıköy
Ayrılık Çeşmesi,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0303161782,41.0000996226,Kadıköy,Kadıköy
Rumeli Hisarüstü,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0455710525,41.0853512482,,
İkitelli Sanayi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8023325524,41.0724316434,,
Başakşehir - Metrokent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8014808953,41.1075881712,,
Küçükyalı,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.121853858,40.9490497377,Kadıköy,Kadıköy
Sultançifliği,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8606058814,41.1061810067,,
Şişhane - Zemin İstanbul,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9728491187,41.0282905337,,
Kadıköy,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0219549908,40.9904063985,Kadıköy,Kadıköy
Şişli,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9926737246,41.0645050502,,
Necip Fazıl,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1792056992,41.0160785116,Üsküdar,Üsküdar
Kartal,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.191190141,40.8886128832,,
Söğütlüçeşme,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0376279459,40.9909023378,,
Yeşilpınar,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9183127582,41.0823042034,,
