Istasyon_Adi,Proje_Adi,Hat_Turu,Proje_Asama,Longitude,Latitude,Ilce_Manuel,Ilce_Nihai
İmam Hatip,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1515186058,41.0159627424,Üsküdar,Üsküdar
Kazlıçeşme,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.9168778133,40.9926862409,,
Altınşehir,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1405619719,41.0165423463,Üsküdar,Üsküdar
Yenikapı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.950826891,41.0050201028,,
Altunizade,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0482914336,41.021954492,Üsküdar,Üsküdar
Ihlamurkuyu,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1304702884,41.0197169944,Üsküdar,Üsküdar
Çekmeköy,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.189207926,41.0145632479,Üsküdar,Üsküdar
Göztepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0625591735,40.9791648388,,
Tuzla,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.3223601331,40.829952436,,
İDO,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0207706082,40.9899103415,Kadıköy,Kadıköy
Hastane - Adliye,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.178771727,40.9161698138,Kadıköy,Kadıköy
Osmanbey,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9874152263,41.0524927818,,
Topkapı - Ulubatlı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9305073648,41.0240232433,,
Merter,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.896181044,41.0076440847,,
Cevizlibağ,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9115778282,41.0159539922,Bağcılar,Bağcılar
Esenkent,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1663490467,40.9208832243,Kadıköy,Kadıköy
Ziya Gökalp Mahallesi,M9 Bahariye - Olimpiyat Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7865302451,41.0744821902,,
Nispetiye,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0242490175,41.0773106797,,
Turgut Özal,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.797408964,41.0811835113,,
Emniyet - Fatih,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9396003277,41.0176097243,,
Bosna Çukurçeşme,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9020835612,41.0618358936,,
Göztepe,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0707261384,40.9940461002,Kadıköy,Kadıköy
Akşemsettin,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9075169292,41.004213274,Bağcılar,Bağcılar
Yenikapı,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9514201471,41.0055856644,,
Üçyüzlü,M1B Yenikapı - Kirazlı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8706380252,41.0367198157,,
Beyazıt,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9666983534,41.0090671307,Bağcılar,Bağcılar
Zeytinburnu,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8896559931,41.0016990483,,
Cumhuriyet Mah.,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8719867341,41.0841529031,,
Dünya  Ticaret Merkezi,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8285542483,40.9866437703,,
Yamanevler,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.108777832,41.0241552372,Üsküdar,Üsküdar
Feneryolu,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.0490084627,40.978696151,,
Kaynarca,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2560336339,40.8713029434,,
Nurtepe,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9635421453,41.0797649097,,
Aydıntepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.2931664015,40.8522885877,,
Cevizli,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.1560454699,40.9100151225,,
Yenimahalle,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,28.8810549364,40.9817327416,,
Alibeyköy,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9496326544,41.0791146521,,
Başak,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.1773527137,40.8905590783,,
Eminönü,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9732136953,41.0174751806,Bağcılar,Bağcılar
Topçular,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9195379435,41.0416185494,,
Bahçelievler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8630701218,40.9953514712,,
Terazidere,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8979561956,41.0303299066,,
İskele,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,29.0234841795,40.9908757898,Kadıköy,Kadıköy
Sağmalcılar,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9072392503,41.040852645,,
50.Yıl,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8667654908,41.0879075061,,
Sanayi Mah.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0055310949,41.0943010952,,
Sarıgazi,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2120882819,41.010138601,Sultanbeyli,Sultanbeyli
Mevlana,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1533571204,40.992156465,,
Fulya,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0074130115,41.0619944468,,
Beşiktaş,M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,Metro,İnşaat Aşamasında,29.0074506142,41.0434905571,,
Yıldız,M7 Yıldız - Mahmutbey Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0096778157,41.054110438,,
Esenyurt Meydanı,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.6793243504,41.0349647043,Esenyurt,Esenyurt
Seyrantepe,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9960969818,41.1011134287,,
Akıncılar,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.8710345188,41.0173348574,Bağcılar,Bağcılar
Ayvansaray,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9439490435,41.03956207,,
Eyüpsultan Devlet Hastanesi,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9411189488,41.056729923,,
Silahtarağa Mahallesi,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9428944835,41.0647767596,,
Karaköy,F2 Karaköy - Beyoğlu Tünel Füniküler Hattı,Füniküler,Mevcut Hattaki İstasyon,28.9740377459,41.0227730939,Beyoğlu,Beyoğlu
Tünel,F2 Karaköy - Beyoğlu Tünel Füniküler Hattı,Füniküler,Mevcut Hattaki İstasyon,28.9740491197,41.0284213663,Beyoğlu,Beyoğlu
İkitelli Sanayi,M9 Bahariye - Olimpiyat Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.802129563,41.0723497502,,
Çayırova,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.3474462443,40.8103767335,,
Fatih,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.3638554302,40.8075100987,,
Osmangazi,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.3800379757,40.799227689,,
Darıca,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.3919754761,40.7913449435,,
Gebze,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,Mevcut Hattaki İstasyon,29.409965741,40.7840644551,,
Pier Loti,TF2 Eyüp - Pier Loti Teleferik Hattı,Teleferik,Mevcut Hattaki İstasyon,28.932979553,41.0540348217,,
Eyüp,TF2 Eyüp - Pier Loti Teleferik Hattı,Teleferik,Mevcut Hattaki İstasyon,28.9340681863,41.0500152491,,
Maçka,TF1 Maçka - Taşkışla Teleferik Hattı,Teleferik,Mevcut Hattaki İstasyon,28.9939499162,41.044737154,,
Taşkışla,TF1 Maçka - Taşkışla Teleferik Hattı,Teleferik,Mevcut Hattaki İstasyon,28.9905733691,41.0436318448,,
Hasdal,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9468463059,41.1212997004,,
Yeni Havalimanı - 2,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7685326311,41.2564077956,,
Yeni Havalimanı - 3,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7127665942,41.2554334556,,
Yeni Havalimanı - 1,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7426387571,41.2559358205,,
Göktürk,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8836670921,41.1769563911,,
İhsaniye,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.8089292147,41.2429601376,,
Kemerburgaz,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.910227377,41.1591296952,,
Kağıthane,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.9763643256,41.0801645224,,
Rumeli Hisarüstü,F4 Rumeli Hisarüstü - Aşiyan Füniküler Hattı,Füniküler,İnşaat Aşamasında,29.0461832253,41.0849124744,,
Aşiyan,F4 Rumeli Hisarüstü - Aşiyan Füniküler Hattı,Füniküler,İnşaat Aşamasında,29.0536539042,41.0813857171,,
Atatürk Mahallesi,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.7987700317,41.0521039707,,
Kaynarca Merkez,"M10 Pendik - SGH Metro Hattı, Pendik - Fevzi Çakmak Etabı",Metro,İnşaat Aşamasında,29.2607292243,40.8790971867,Pendik,Pendik
Pendik,"M10 Pendik - SGH Metro Hattı, Pendik - Fevzi Çakmak Etabı",Metro,İnşaat Aşamasında,29.231243344,40.8807839988,Pendik,Pendik
Gayrettepe,Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0109068179,41.0671898751,,
Veysel Karani,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2399332527,40.9689823866,Sultanbeyli,Sultanbeyli
Sancaktepe Şehir Hastanesi,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2175514237,41.0009067942,Sultanbeyli,Sultanbeyli
Sultanbeyli,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2724939011,40.9660720865,Sultanbeyli,Sultanbeyli
Hasanpaşa,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2549242235,40.9686747563,Sultanbeyli,Sultanbeyli
Sancaktepe,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2292423995,40.9914198992,Sultanbeyli,Sultanbeyli
Meclis,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.1988611401,41.0096652612,Sultanbeyli,Sultanbeyli
Samandıra Merkez,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2314617555,40.983759202,Sultanbeyli,Sultanbeyli
Kaynarca Merkez,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2612487039,40.8787134664,Tuzla,Tuzla
Esenyalı,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2955767835,40.8638118705,Tuzla,Tuzla
Çamçeşme,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2735045597,40.8787899886,Tuzla,Tuzla
Kavakpınar,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2847349537,40.875958607,Tuzla,Tuzla
Aydıntepe,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2928542239,40.8578528405,Tuzla,Tuzla
İçmeler,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,İnşaat Aşamasında,29.2996849242,40.8450693106,Tuzla,Tuzla
Sabiha Gökçen,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.3114239088,40.9065447646,Kadıköy,Kadıköy
Kurtköy,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2962830984,40.9101335948,Kadıköy,Kadıköy
Yayalar - Şeyhli,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2751192864,40.9037407838,Kadıköy,Kadıköy
Fevzi Çakmak - Hastane,M4 Kadıköy - SGH Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.2624037531,40.8886417085,Kadıköy,Kadıköy
İmes,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1562117564,41.0001481272,,
Parseller,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1526674022,41.0312433529,,
Huzur,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1595514004,41.0226344203,,
Haznedar,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.8717193568,41.0046548513,Bakırköy,Bakırköy
Malazgirt,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.828203805,41.0221022649,,
Barbaros,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.8365597523,41.0235201646,,
Molla Gürani,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.8478882573,41.0260454587,Bakırköy,Bakırköy
Yıldıztepe,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.8578448457,41.0193911133,Bakırköy,Bakırköy
Fatih,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.8027818409,41.0284958617,,
İncirli,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.874947155,40.997791003,Bakırköy,Bakırköy
Özgürlük Meydanı,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.8740634973,40.9817353367,Bakırköy,Bakırköy
Küçükpazar,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9633072364,41.0209082584,,
Masko,M9 Bahariye - Olimpiyat Metro Hattı,Metro,İnşaat Aşamasında,28.8039976708,41.0640636378,,
15 Temmuz,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8141344326,41.036903864,,
Çobançeşme - Kuyumcukent,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8226568462,40.9992732598,,
Halkalı Caddesi,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.80672735,41.0449675987,,
Doğu Sanayi,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8179826163,41.0150158062,,
Mimar Sinan,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8165137276,41.0251024172,,
Yenibosna,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8380437874,40.9892636065,,
Ataköy,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8562110538,40.979913638,,
İhlas Yuva,M9 (U1) Ataköy -  Bahariye Hattı,Metro,İnşaat Aşamasında,28.8186252974,41.0061906335,,
İçerenköy,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.126424906,40.9789845394,,
Kozyatağı,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0999002371,40.9775015583,,
Ayşe Kadın,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0867181509,40.9667774717,,
Bostancı,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0977225047,40.9509636456,,
Emin Ali Paşa,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.0937084923,40.9605472642,,
Kayışdağı,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1377306108,40.9846900159,,
Dudullu,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1632870725,41.0152325915,,
Küçükbakkalköy,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.1117414468,40.9789184865,,
Modoko - Keyap,M8 Bostancı - Dudullu Metro Hattı,Metro,Mevcut Hattaki İstasyon,29.161855314,41.0071876376,,
Kabataş,M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,Metro,İnşaat Aşamasında,28.9907500553,41.0335744205,,
Atatürk Mahallesi,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.7974872035,41.0518352309,Esenyurt,Esenyurt
Ispartakule,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.7093319731,41.0622487609,Esenyurt,Esenyurt
Hastane,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.7588533017,41.0561315069,Esenyurt,Esenyurt
Tahtakale,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.7259503944,41.0594321354,Esenyurt,Esenyurt
Toplu Konut,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.7862786379,41.0553154861,Esenyurt,Esenyurt
Bahçeşehir,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.6835026611,41.064085764,Esenyurt,Esenyurt
Tema Park,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.7720939967,41.05816462,Esenyurt,Esenyurt
Ardıçlı,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.6755757425,41.0443971342,Esenyurt,Esenyurt
Esenkent,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.67076459,41.0567580416,Esenyurt,Esenyurt
Bakırköy İDO,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.8680772574,40.9736222874,Bakırköy,Bakırköy
İlkyuva,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,İnşaat Aşamasında,28.8656490726,41.0116111624,Bakırköy,Bakırköy
Halkalı,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.7677107296,41.0176638112,,
Eminönü,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9700504844,41.0182506722,,
Halkalı,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7681738903,41.0202512735,,
Mehmet Akif Ersoy,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.7800124525,41.0338987921,,
Tema Park,Halkalı - Arnavutköy - Yeni Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7747473321,41.0565824441,Arnavutköy,Arnavutköy
Kayaşehir Merkez,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7657137663,41.1174078016,,
Bezirganbahçe,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.767777836,41.0256154131,,
Olimpiyat,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7697519201,41.0779951936,,
Halkalı - Üniversite,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.7896032792,41.0346806674,,
Yenidoğan,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.7710927915,41.0330831515,,
Fenertepe,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7951065961,41.1394899577,,
Arnavutköy -2,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7159766816,41.2069599862,,
Arnavutköy - 1,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,İnşaat Aşamasında,28.7464186818,41.1791811595,,
Mimar Sinan,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,İnşaat Aşamasında,28.8165798652,41.0250630721,,
Onurkent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7904528718,41.1133556519,,
Şehir Hastanesi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7778792943,41.103310128,,
Toplu Konutlar,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7678710416,41.1073954459,,
Kayaşehir Merkez,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,Mevcut Hattaki İstasyon,28.7665088663,41.1195507427,,
Göztepe 60. Yıl Parkı,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.0566476314,40.9696400909,Ümraniye,Ümraniye
Çarşı,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.0969701242,41.026945029,Ümraniye,Ümraniye
Atakent,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.1018263781,41.0160294361,Ümraniye,Ümraniye
Yeni Sahra,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.0921391422,40.9849381944,Ümraniye,Ümraniye
Finans Merkezi,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.1108510159,40.9993002306,Ümraniye,Ümraniye
Sahrayıcedit,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.077135021,40.9799539217,Ümraniye,Ümraniye
SBÜ Hastanesi,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.1019676058,41.0305156614,Ümraniye,Ümraniye
Site,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.1129046309,41.0083402239,Ümraniye,Ümraniye
Ataşehir,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.104065695,40.9906374128,Ümraniye,Ümraniye
Göztepe,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.0662896028,40.9783502001,Ümraniye,Ümraniye
Kazım Karabekir,M12 Göztepe-Ümraniye Metro Hattı,Metro,İnşaat Aşamasında,29.0987977614,41.0427284001,Ümraniye,Ümraniye
Bölge Parkı,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,İnşaat Aşamasında,28.8136035851,41.0560767788,Esenyurt,Esenyurt
Feshane,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,Mevcut Hattaki İstasyon,28.9379603124,41.0455174821,,
